year,month,start,endofperiod,sales,value(E),unsold(Kg)
2006,9,1/9/2006,30/9/2006,205328,481425,660
2006,10,1/10/2006,31/10/2006,396005,966416,22688
2006,11,1/11/2006,30/11/2006,535589,956121,-10128
2006,12,1/12/2006,31/12/2006,460154,1491733,2268
2007,1,1/1/2007,31/1/2007,312348,896532,1629
2007,2,1/2/2007,28/2/2007,380481,998962,11373
2007,3,1/3/2007,31/3/2007,413844,1173088,1939
2007,4,1/4/2007,30/4/2007,349161,920561,10850
2007,5,1/5/2007,31/5/2007,164534,344829,2037
2007,6,1/6/2007,30/6/2007,157299,344796,2792
2007,7,1/7/2007,31/7/2007,165784,363856,1392
2007,8,1/8/2007,31/8/2007,211268,474161,5772
2007,9,1/9/2007,30/9/2007,161161,362911,1105
2007,10,1/10/2007,31/10/2007,464969,1112872,79365
2007,11,1/11/2007,30/11/2007,434879,905791,21484
2007,12,1/12/2007,31/12/2007,252738,806571,2831
2008,1,1/1/2008,31/1/2008,223136,633101,117
2008,2,1/2/2008,29/2/2008,280111,718993,4741
2008,3,1/3/2008,31/3/2008,238223,602490,455
2008,4,1/4/2008,30/4/2008,294239,704617,59878
2008,5,1/5/2008,31/5/2008,72563,162701,85473
2008,6,1/6/2008,30/6/2008,56883,117251,1108
2008,7,1/7/2008,31/7/2008,77443,189262,1498
2008,8,1/8/2008,31/8/2008,91131,155129,2455
2008,9,1/9/2008,30/9/2008,108056,226217,1606
2008,10,1/10/2008,31/10/2008,252449,612712,916
2008,11,1/11/2008,30/11/2008,207812,527108,1509
2008,12,1/12/2008,31/12/2008,291866,903103,7439
2009,1,1/1/2009,31/1/2009,296374,655551,36257
2009,2,1/2/2009,28/2/2009,245169,499539,15701
2009,3,1/3/2009,31/3/2009,228386,582811,5620
2009,4,1/4/2009,30/4/2009,227667,489350,12338
2009,5,1/5/2009,31/5/2009,107173,194828,3145
2009,6,1/6/2009,30/6/2009,75175,141287,1845
2009,7,1/7/2009,31/7/2009,93411,145996,4875
2009,8,1/8/2009,31/8/2009,153268,250330,20747
2009,9,1/9/2009,30/9/2009,148794,273427,10093
2009,10,1/10/2009,31/10/2009,264179,532819,20331
2009,11,1/11/2009,30/11/2009,170383,396651,6292
2009,12,1/12/2009,31/12/2009,294862,849834,22171
2010,1,1/1/2010,31/1/2010,301000,596582,21758
2010,2,1/2/2010,28/2/2010,245986,525469,5733
2010,3,1/3/2010,31/3/2010,289685,742986,14748
2010,4,1/4/2010,30/4/2010,235757,671934,22147
2010,5,1/5/2010,31/5/2010,250308,776903,-8272
2010,6,1/6/2010,30/6/2010,176644,619345,2896
2010,7,1/7/2010,31/7/2010,110687,341696,3325
2010,8,1/8/2010,31/8/2010,157165,405877,2104
2010,9,1/9/2010,30/9/2010,154399,392383,318
2010,10,1/10/2010,31/10/2010,326276,801837,5801
2010,11,1/11/2010,30/11/2010,354238,969931,5633
2010,12,1/12/2010,31/12/2010,310187,1012431,13944
2011,1,1/1/2011,31/1/2011,330653,896461,705
2011,2,1/2/2011,28/2/2011,389569,963762,640
2011,3,1/3/2011,31/3/2011,394906,1031051,956
2011,4,1/4/2011,30/4/2011,336644,882258,5819
2011,5,1/5/2011,31/5/2011,302163,795750,3801
2011,6,1/6/2011,30/6/2011,158360,492005,2552
2011,7,1/7/2011,31/7/2011,84774,315547,299
2011,8,1/8/2011,31/8/2011,167927,394621,3888
2011,9,1/9/2011,30/9/2011,165398,370725,1592
2011,10,1/10/2011,31/10/2011,312513,759962,217
2011,11,1/11/2011,30/11/2011,424506,1167721,387
2011,12,1/12/2011,31/12/2011,396311,1443240,6240
2012,1,1/1/2012,31/1/2012,334491,887210,849
2012,2,1/2/2012,29/2/2012,338294,929997,1380
2012,3,1/3/2012,31/3/2012,392808,1089613,1205
2012,4,1/4/2012,30/4/2012,186117,590540,350
2012,5,1/5/2012,31/5/2012,236414,700891,2796
2012,6,1/6/2012,30/6/2012,115940,385233,5963
2012,7,1/7/2012,31/7/2012,115339,286638,4202
2012,8,1/8/2012,31/8/2012,137073,313391,3658
2012,9,1/9/2012,30/9/2012,150614,308947,3174
2012,10,1/10/2012,31/10/2012,424087,967693,33829
2012,11,1/11/2012,30/11/2012,308766,853574,5519
2012,12,1/12/2012,31/12/2012,342679,891007,11155
2013,1,1/1/2013,31/1/2013,266180,600839,16449
2013,2,1/2/2013,28/2/2013,184735,465541,8935
2013,3,1/3/2013,31/3/2013,233105,620400,2067
2013,4,1/4/2013,30/4/2013,242335,698653,2765
2013,5,1/5/2013,31/5/2013,188600,484398,3427
2013,6,1/6/2013,30/6/2013,116824,288598,2883
2013,7,1/7/2013,31/7/2013,157889,370200,5859
2013,8,1/8/2013,31/8/2013,136274,293630,19211
2013,9,1/9/2013,30/9/2013,70282,221709,2062
2013,10,1/10/2013,31/10/2013,488142,1190578,504
2013,11,1/11/2013,30/11/2013,341112,1036566,161
2013,12,1/12/2013,31/12/2013,441408,1357731,1435
2014,1,1/1/2014,31/1/2014,350473,870968,126
2014,2,1/2/2014,28/2/2014,268147,698570,171
2014,3,1/3/2014,31/3/2014,541530,1319505,1421
2014,4,1/4/2014,30/4/2014,452016,1233389,-1216
2014,5,1/5/2014,31/5/2014,164168,421023,113
2014,6,1/6/2014,30/6/2014,140016,316639,1109
2014,7,1/7/2014,31/7/2014,135513,412652,185
2014,8,1/8/2014,31/8/2014,95901,275890,14
2014,9,1/9/2014,30/9/2014,106638,274999,274
2014,10,1/10/2014,31/10/2014,304701,954310,477
2014,11,1/11/2014,30/11/2014,283539,997900,1508
2014,12,1/12/2014,31/12/2014,328176,1391373,2496
2015,1,1/1/2015,31/1/2015,221183,829389,675
2015,2,1/2/2015,28/2/2015,235791,892211,0
2015,3,1/3/2015,31/3/2015,229275,889232,25
2015,4,1/4/2015,30/4/2015,200797,721696,0
2015,5,1/5/2015,31/5/2015,150400,381650,280
2015,6,1/6/2015,30/6/2015,92560,273522,3
2015,7,1/7/2015,31/7/2015,60645,172237,0
2015,8,1/8/2015,31/8/2015,97807,222131,0
2015,9,1/9/2015,30/9/2015,92151,223613,0
2015,10,1/10/2015,31/10/2015,237973,767439,50
2015,11,1/11/2015,30/11/2015,273966,893894,0
2015,12,1/12/2015,31/12/2015,457810,1670839,74
2016,1,1/1/2016,31/1/2016,236969,821786,0
2016,2,1/2/2016,29/2/2016,179656,650530,0
